state	state_num	state_nam	state_fips	state_icpsr	yrstatehd	equalpay	conacchwy	soil	realest	intbar	sals	fairtrade	beaulic	antiinj	juvisup	legpre	miglab	mntlhlth	fhpriv	fhpub	fhurb	humrel	autosaf	comage	teacelm	edutv	prkagcit	arts	citzon	pubhouen	stplnb	adc	adcom	blind	minwage	urbrenen	pldvpag	cigtax	retainag	recipsup	parolesup	oldagea	alcbevcon	crtadm	alctreat	aidperm	indgaming	cappun	schoolchoi	chartersch	livingwill	aborpreroe	health	natreso	environ	econdev	aging	revenue	transport	correct	education	inctax	gastax	absvot	earlvot	motorvoter	mailreg	famcap	snrpresc	msas	idas	timelim	lien	childabu	viccomp	pubcamfun	lott	rightdie	elecdereg	missplan	childseat	lemon	termlim	medmar	hatecrime	grandvist	hmomod1	hmomod2	credfreez	kidhelmet	bradycamp	primseat	vicrtsamd	strikes	higrenew	higissue	hiport	hiprecon	idtheft	pdrugmon	stalkdef	cyberstalk	harass	civinjaut	dui08	smokeban	gaymarban	postdna	motorhelm	aborparn	aborparc	statrapage	renewport	pestcomp	tels	methpre	kegreg	infanthear	pubbrefeed	norealid	kinship	banfininc	bangag	ccreceipt	contrains	gdl	colcanscr	manclin	cogrowman	shield	bottle	offwmh	enterzone	mlda21	zerotol	hsexit	sdce	broadcom	indorgris	sexreginfo	fairemp	segoss	fishagency	OilGasCons	AirPollContr	ForestAgency	NormalSchoolEnabling	DeafSchool	Superintendents	WorkmensComp	UtilityRegComm	CompulsorySchoolAttenance	ProbationLaw	SlaughterhouseInsp	TaxCommiss	AgExperimentStations	HighwayAgency	AccountantsLicense	WelfareAgency	ParkSystem	NursesLicense	MeritSystem	EngLicense	HealthBoard	BudgetStandards	StatePolice	PharmaLicense	AutoReg	ArchitectLicense	AussieBallot	Ageism	DentistLicense	MuniHomeRule	JuniorCollege	LaborAgencies	TeacherCert	LegResearch	RetireForStateEmployee	LibraryExtension	InitiativeRef	DirectPrimary	DebtLimit	ChiroLicense	ChildLabor	AidRoads	StandGround	interracemarr	gaymarequal	womenvote	recmarijuana
AL	1	Alabama	1	41	1819		1956	1939	1927	1923					1965	1945									1955	1953			1923	1935	1935	1936	1939	1937		1949	1943	1927		1951	1939	1936	1940		1945	1950			1991		1981		1990				1974				1980	1933	1923			1995	1995							1965	1984	1983					1982					1984	1986			1995		1999	1994						2001						1995		2008		1967		1987	1977				2004			2006		1999					2002	2004			1935		2002	1988	1985	1996	1981		1996					1870	1945	1940	1907	1907		1854	1920	1880	1915	1931	1919	1907	1888	1911	1919	1919	1923	1915	1939	1935	1875	1919	1939	1931	1903	1931	1893		1881		1953	1935	1939	1945	1945	1907		1904	1867	1911	1919	1911	2006				
AK	2	Alaska	2	81	1959																																											1976		1995	1986	1970				1991								1996	2002	1992	1976						1997	1965	1972					1959	1984	1984		1979	1982	1982		1989					1994		1993	1993	1993	1993	2001								1996		1971			1983			1982				1998	2008		1998	1998	2008		1999	2006			1967				1984	1996	1997				1994	1953																																													2006	1959	2014		2014
AZ	3	Arizona	4	61	1912	1962	1939	1941	1921	1933	1965	1936	1928	1913	1961		1956						1964		1936				1925	1939		1936	1937	1936	1939			1933		1954	1937	1937	1939	1960			1992	1973		1994	1985		1987	1987		1991			1987			1933	1921	1992	1993	1984	1992	1994	2001	1994	1995	1994	1998	1964			1981	1987	1998	1974	1983	1984	1992	1996		1983							1990		1993	1993	1993	1993	1996		1998		1998	1998	2001	2007	1996	2000	1969	1982		1993	2001	1994	1978	2005		2005	2006	2008	2000	2000	1997	2001	2002	2000		2000	1998	1937			1988	1985	1990	1996		1996					1881	1927	1959		1885		1870	1912	1910	1899		1927	1912	1889	1909	1919	1912		1921	1940	1921	1903	1919	1931	1935	1912	1921	1891		1913	1912	1927	1925	1921	1953	1953	1949	1911	1909	1867	1921	1912	1909	2006	1962	2014		
AR	4	Arkansas	5	42	1836	1955	1953	1937	1929	1938	1962	1937	1947		1957		1959	1959								1961		1966	1924	1937	1935	1936	1937	1936	1915	1947	1945	1924		1959	1937	1936	1935	1965	1955	1952		1973	1989	1995	1977	1969	1991									1929	1921	1969	1996	1988	1995	1993	2001	1997	1999			1965	1987				1999		1983		1992	1998		1983	1975							1995	1991				1999					2001	2001		1997		1967	1989		1975		1999		2001		1999	2007				1997		2005	2001	2005			1936			1984	1935	1993				1997			1943	1875	1939	1960	1931	1872	1868	1874	1939	1899	1909	1945	1946	1909	1888	1913	1915	1893	1927	1913	1940	1925	1913	1913	1935	1891	1911	1941	1891		1887			1913		1947	1954	1921	1910	1909	1934	1915	1914	1913				1912	
CA	5	California	6	71	1850	1949	1939	1938	1917	1927	1963	1931	1927		1955	1941			1963	1959	1959	1959	1965	1952	1930	1961	1927	1964	1917	1938	1935	1936		1936	1923	1951	1947	1959	1963	1954	1937	1936	1935	1960	1954	1957	1990	1974	1992	1992	1976	1967				1992	1989	1981			1985	1935	1923	1978	1998	1995	1976	1994	1999	1996			1998	1963	1965	1983	1984	1983	1996		1982	1982	1990	1996	1978	1983			2001	1994	1991	1993	1982	1994	1992	1992	1992	1992	1997	1940		1998		1999	1990	1995	2000	2000	1985			1993	2002	1969	1979	1999	1994	1998	1997		1998	1996	1996	1999	1999	1997	1992	2000		1935	1986	1994	1986	1933	1994	1999		1997			1959		1870	1940	1959	1885	1862	1860	1851	1911	1875	1874	1933	1917	1879	1888	1911	1901	1897	1927	1905	1913	1929	1870	1911	1929	1891	1905	1901	1891	1961	1885	1879	1907	1883	1905	1904	1932	1903	1911	1909	1849	1922	1909	1895		1948	2008	1911	2016
CO	6	Colorado	8	62	1876	1955	1941	1937	1925			1937	1931	1933	1957	1953	1958	1965	1959	1959	1959	1951	1963	1953		1959		1965	1923	1935	1935	1936	1935	1936	1937	1949	1935	1964		1953	1939	1936	1935	1959	1949	1951	1992	1975	1990	1993	1985	1967				1990		1988	1989	1987		1937	1919	1992	1992	1988	1995			1994	2000		1997	1963	1981		1983			1966	1983	1984	1990	2000	1988	1980		1992	2005				1992	1994	1991	1994	1991	1994			1999	2000		1999		2006	2006	2003	1969			1975	2004	2001	1977	2002		1997	2004	2007	2002		1996	2002		1999							1986	1987	1997		2005			1994	1957		1877	1915	1957	1885	1889		1861	1915	1885	1889	1949	1949	1911	1888	1909	1907	1891	1937	1905	1940	1919	1893	1919	1935	1887	1913	1909	1891	1903	1889	1902	1937	1887	1923	1927	1931	1899	1910	1910	1876	1933	1911	1909		1957	2014	1893	2012
CT	7	Connecticut	9	1	1788	1949	1939	1945				1937	1927	1939	1957	1937		1955	1959	1949	1953	1947	1965	1945	1940	1961	1945	1965	1925	1937	1935	1941	1939	1938	1940	1949	1939	1935	1957	1958	1941	1936		1937	1945	1954	1991	1973		1996	1985		1988		1990			1989		1991	1978		1921			1995	1990	1995	1986		2000	1995		1965	1978		1971		1998		1982	1982		1981	1990	1979			2005	1993	1990	1986	1996	1994	1990	1990	1990	1990	1999							2003		2000	1967	1990		1993	1998		1991		1999	1997	1997		2003		1997		1999	1996	2001	2001		2006	1978		1982	1985	1995		2007		1994		1947		1867		1959	1901	1849	1921	1839	1914	1853	1872	1955	1913	1901	1887	1895	1907	1873	1912	1905	1937	1935	1878	1915	1903	1881	1903	1933	1909	1959	1893	1951	1959	1873	1922	1907	1939	1893		1955		1917	1911	1895		1788	2008		
DE	8	Delaware	10	11	1787		1945	1943	1927		1955	1935			1963	1945	1957	1962				1962	1963		1934	1964			1923	1934	1943	1936		1945	1965	1951		1949			1937	1936	1935		1948	1950		1974		1995	1982	1969	1987	1989		1992	1987	1989		1989	1989	1917	1923			1995	1976	1995	1999			1995		1965	1974		1975	1980	1999		1982	1983				1977			2005	1996	1994	2003			1991	1992	1992	1992	2000							2002	1996	2000	1968	1996		1988		1969	1978			2005	1997			1998	1996	2003	2000	1999	2000	2001		1953	1982	2001	1985	1984	1995		2006	1994			1960		1881		1957	1909	1866			1918		1907	1951	1915	1921	1888	1917	1913	1919	1927	1909	1938	1941	1879	1917	1923	1883	1905	1933	1891	1960	1885				1921	1945	1946	1901		1903		1937	1914	1903			2013		
FL	9	Florida	12	43	1845		1943	1937	1925	1949	1958	1937	1935		1957	1949	1957						1963	1955	1951	1957	1943	1960	1923	1937	1935	1938	1925	1937		1949	1945	1943		1955	1941	1936	1941		1953	1955		1972		1996	1984	1972	1986	1991	1987	1986		1990	1974	1991			1921	1998		1995	1995	1995	2000	1997	2001	1993	1997	1963	1977	1986	1986	1980		1972	1982	1983	1992		1989	1984			2006	1997	1989		1988	1995	1991	1992	1992	1992	1999		1999				1994		1997	2001	1967			1996		1995	1994	2005		2002	1993		2000	1996	1996	2002		1996			1985	1998		2004	1981	1985	1997	1976	2007	1995						1945	1957	1927	1887		1868	1935	1887	1915	1941	1951	1913	1888	1915	1951	1917	1925	1913	1940	1917	1889	1921	1939	1889	1905	1915	1895		1887	1915	1939		1951	1949	1945	1925		1901	1885	1919	1914	1915	2005		2014		
GA	10	Georgia	13	44	1788	1966	1943	1937	1925			1937	1914										1964		1939	1964			1928	1937	1937	1937		1937		1947	1943	1923		1958	1950	1937	1937		1951	1952		1973		1993	1984	1968	1988					1984			1987	1929	1921	2003		1995	1995	1993			1998			1965	1988		1992	1984			1983			1980		1981	1979			1993		1996		1994	1995		1995		1998		1998	2000		2001	2001		1996	2003	1969	1991		1995		1984		2005		1999	1999			1997	1997	2003	1999	1997	2002	1998		1990		1999	1982	1986	1997	1985			1994				1876	1945	1958	1921	1889	1846	1868	1921	1879	1916	1958	1933	1913	1888	1916	1908	1919	1925	1907	1949	1937	1903	1918	1937	1881	1910	1919	1922		1920	1947	1958	1912	1939	1914	1949	1897		1917	1877	1921	1914	1908	2006				
