state	state_num	state_nam	state_fips	state_icpsr	year	year_bi	ipctbi	adnumbi	adpossbi	sipctbi	sipctbise
"AL"	1	"Alabama"	1	41	1913	1914	0.0	0	5	0	0.06189597078606468
"AL"	1	"Alabama"	1	41	1914	1914	0.0	0	5	0	0.05077154235012966
"AL"	1	"Alabama"	1	41	1915	1916	0.0	0	9	0	0.04354285765855097
"AL"	1	"Alabama"	1	41	1916	1916	0.0	0	9	0	0.038548010989994524
"AL"	1	"Alabama"	1	41	1917	1918	0.0	0	12	0	0.03481542271756774
"AL"	1	"Alabama"	1	41	1918	1918	0.0	0	12	0	0.03200220717158703
"AL"	1	"Alabama"	1	41	1919	1920	0.0	0	18	0	0.029754909442312065
"AL"	1	"Alabama"	1	41	1920	1920	0.0	0	18	0.014430785676109024	0.028138503313060653
"AL"	1	"Alabama"	1	41	1921	1922	0.0	0	22	0.04304799604156358	0.02722043532931219
"AL"	1	"Alabama"	1	41	1922	1922	0.0	0	22	0.05994152046783624	0.02696820469718961
"AL"	1	"Alabama"	1	41	1923	1924	0.15789473	3	19	0.06666666666666664	0.02680483223812761
"AL"	1	"Alabama"	1	41	1924	1924	0.15789473	3	19	0.07096124811273274	0.026590682018932273
"AL"	1	"Alabama"	1	41	1925	1926	0.0	0	19	0.07394186639469658	0.026697107544286308
"AL"	1	"Alabama"	1	41	1926	1926	0.0	0	19	0.05609881626351002	0.027037645997831133
"AL"	1	"Alabama"	1	41	1927	1928	0.1	2	20	0.0459652706843718	0.02687308874307578
"AL"	1	"Alabama"	1	41	1928	1928	0.1	2	20	0.04130982367758185	0.026243763666060793
"AL"	1	"Alabama"	1	41	1929	1930	0.0	0	19	0.028841372451516658	0.02574498133977806
"AL"	1	"Alabama"	1	41	1930	1930	0.0	0	19	0.012955854126679454	0.025155962790019016
"AL"	1	"Alabama"	1	41	1931	1932	0.0	0	22	0.012786596119929453	0.02407344909113977
"AL"	1	"Alabama"	1	41	1932	1932	0.0	0	22	0.02688809806247527	0.02275594128078282
"AL"	1	"Alabama"	1	41	1933	1934	0.033333335	1	30	0.05276116778051353	0.021438257846150506
"AL"	1	"Alabama"	1	41	1934	1934	0.033333335	1	30	0.07250470809792842	0.020229031094509096
"AL"	1	"Alabama"	1	41	1935	1936	0.13513513	5	37	0.07796994612985537	0.019181823245360972
"AL"	1	"Alabama"	1	41	1936	1936	0.13513513	5	37	0.0768211920529801	0.01851453311199084
"AL"	1	"Alabama"	1	41	1937	1938	0.024390243	1	41	0.07938540332906524	0.018162641975065428
"AL"	1	"Alabama"	1	41	1938	1938	0.024390243	1	41	0.07130033341882529	0.018024396407740277
"AL"	1	"Alabama"	1	41	1939	1940	0.11111111	4	36	0.058715113217482844	0.018057965251796995
"AL"	1	"Alabama"	1	41	1940	1940	0.11111111	4	36	0.0506260206859009	0.018126061899855297
"AL"	1	"Alabama"	1	41	1941	1942	0.0	0	34	0.04368391764051195	0.018208933508021986
"AL"	1	"Alabama"	1	41	1942	1942	0.0	0	34	0.03197997775305894	0.01810888234868191
"AL"	1	"Alabama"	1	41	1943	1944	0.027777778	1	36	0.03016428763802854	0.01772528416583099
"AL"	1	"Alabama"	1	41	1944	1944	0.027777778	1	36	0.032006245120999206	0.01737134482830119
"AL"	1	"Alabama"	1	41	1945	1946	0.04761905	2	42	0.030256801423849462	0.017104080227719084
"AL"	1	"Alabama"	1	41	1946	1946	0.04761905	2	42	0.025265285497726102	0.016953528563547638
"AL"	1	"Alabama"	1	41	1947	1948	0.0	0	38	0.024377856780091398	0.016809227299296244
"AL"	1	"Alabama"	1	41	1948	1948	0.0	0	38	0.024993558361247083	0.016726604777781786
"AL"	1	"Alabama"	1	41	1949	1950	0.054054055	2	37	0.029870129870129852	0.01674185105650824
"AL"	1	"Alabama"	1	41	1950	1950	0.054054055	2	37	0.03526056520611872	0.01669627982309494
"AL"	1	"Alabama"	1	41	1951	1952	0.025641026	1	39	0.037267080745341595	0.016650619868287714
"AL"	1	"Alabama"	1	41	1952	1952	0.025641026	1	39	0.03341968911917096	0.0165652146731046
"AL"	1	"Alabama"	1	41	1953	1954	0.027027028	1	37	0.03161745492552912	0.01651941900062767
"AL"	1	"Alabama"	1	41	1954	1954	0.027027028	1	37	0.03204272363150866	0.016608303956583432
"AL"	1	"Alabama"	1	41	1955	1956	0.055555556	2	36	0.03143794423182065	0.016701006737982405
"AL"	1	"Alabama"	1	41	1956	1956	0.055555556	2	36	0.026469768737809964	0.01670675038261296
"AL"	1	"Alabama"	1	41	1957	1958	0.0	0	34	0.01963534361851332	0.016578531737456974
"AL"	1	"Alabama"	1	41	1958	1958	0.0	0	34	0.010596765197992188	0.01639114883693824
"AL"	1	"Alabama"	1	41	1959	1960	0.0	0	37	0.0024630541871921165	0.016154496344035544
